Year,Population,Median Age,Total Households,Average Household Size,Daytime Population,Median Household Income,Median Home Sales Price,Median Gross Rent,Land Area (Sq mi),Population Density (Ppl/sq mi)
2021,964000,34.4,449399,2.1,1130049,79542,590000,1707,332.7,2898
2022,975335,34.5,458505,2.08,1160340,89415,590000,1707,332.7,2932
